mealtype,recipe_name,measure,calories,protein,fats,carbs
breakfast,quinoa idli,4.5 serving,234.0,4.5,4.5,27.0
breakfast,pumpkin chutney,1.2 serving,88.8,2.4,3.6,7.199999999999999
smoothie,spinach berry banana smoothie,1.0 serving,215.0,7.0,1.0,41.0
snack,sunfeast 5 grain digestive,2.0 biscuits,97.0,7.0,4.0,13.0
lunch,multigrain roti,1.8 serving,175.5,6.3,0.9,32.4
salad,spring mix salad,1.0 serving,142.5,0.5,6.0,8.0
salad,cherry tomato,8.0,24.0,1.2,0.24,5.36
snack,alreef pistachio baklava ,0.5 serving,23.75,0.375,2.0,1.075
snack,alreef birds nest with pistachew,0.5 serving,36.25,0.8,2.225,3.775
snack,alreef almond fingers,0.5 serving,12.65,0.1,0.85,1.25
snack,alreef white pistachio balloriya,0.5 serving,34.25,2.3,2.425,3.075
snack,alreef almond balloriya,0.5 serving,35.25,0.75,2.525,2.925
dinner,lemon millet,1.0 serving,297.5,8.0,10.5,39.0
snack,harvest snaps,2.5 serving,325.0,12.5,12.5,40.0
snack,kombucha,0.25 bottle,17.5,0.0,0.0,4.0
snack,kirkland salted mixed nuts,1.3 tbsp,58.5,1.625,4.875,1.9500000000000002
